Id,SalePrice
2,121949.69255879412
4,264450.40585456777
6,194479.446361277
7,215936.86007315503
17,208749.07136602822
18,347429.8567729536
22,193541.67374832835
27,126985.40360398934
31,107656.28015663398
36,143477.79213310528
39,391630.8503141984
40,270928.4187425163
42,334570.3670205036
46,241567.0337049793
53,180307.68308635463
58,164134.03955259838
61,334689.4773893836
72,250963.5184260431
79,117511.9283286167
80,218649.04963187425
82,164437.3082683041
83,88371.8339660734
85,155649.0701101137
88,138137.1275162059
92,319880.01971815666
93,286678.64538064785
95,184595.82555811258
102,207506.14647261644
103,173184.705945846
106,230876.58491263582
107,169618.1607065301
110,219925.21051824477
114,211946.2532292991
116,178019.26729099255
117,145739.4811543976
118,163907.528530807
125,175632.29709566283
126,208763.00527287842
127,146679.9991526574
128,201681.3567251657
134,154400.64397285768
135,193073.72730973008
137,234813.2926370453
143,138959.39139931215
147,149334.48408876633
148,204557.39165263012
150,118015.39296010687
156,148548.96674513444
157,146546.79380823058
159,144046.39380220638
161,222221.2231009396
167,145529.91837449808
170,166347.4280529968
171,101788.54993434965
175,116223.32387838143
179,125548.05130644186
181,113639.05063913781
186,195026.75636348783
193,193925.2687281138
194,87921.43294744594
206,116084.92212624007
208,143486.07405324647
210,187543.0074237751
211,78899.24885540474
212,92802.8699081362
214,125816.11946115876
215,119435.54085854019
217,148155.2552671225
222,149964.88243787488
227,162191.04430155127
228,166707.57586918116
233,229952.55447782116
235,163939.7389410931
238,134625.69993443217
241,163297.9842393514
252,196012.13099239557
253,187708.30684320873
256,139672.10753413808
257,192280.49595682998
258,193779.6110643107
259,187911.36301851578
261,155836.63055590118
263,119831.97568728708
266,220380.67897904973
267,219688.2714907282
270,158947.9575250229
271,255879.19340094435
276,165065.83071868203
285,168969.24685102535
288,63421.60259975992
289,142647.34371984465
290,113449.17050510284
291,162283.11413024808
292,100734.63375211702
293,204214.36106296576
294,242108.08026094214
295,216388.57337867073
304,129493.68612429648
322,349986.0621066877
326,167700.20653199992
327,105424.92277235173
328,138012.15417162157
331,107588.32284986664
332,85563.24016889237
333,97099.26902897567
335,144101.0092222252
337,153445.0769212096
342,109339.8261119748
343,183156.09714451252
347,173695.03295234768
350,318569.2316410325
352,219234.83968610407
358,184019.00786509787
359,178565.53058558036
360,154571.90192975625
368,336487.4748925924
369,271286.3556310225
373,178877.091110353
